column,finite,missing
0,506,214
1,506,214
2,505,215
3,504,216
4,502,218
5,498,222
6,600,120
7,600,120
8,600,120
9,600,120
10,600,120
11,600,120
12,0,720
13,0,720
14,0,720
15,0,720
16,0,720
17,0,720
18,0,720
19,0,720
20,0,720
21,0,720
22,0,720
23,0,720
24,717,3
25,717,3
26,717,3
27,715,5
28,714,6
29,714,6
30,714,6
31,717,3
32,717,3
33,717,3
34,715,5
35,714,6
36,714,6
37,714,6
38,717,3
39,717,3
40,717,3
41,715,5
42,714,6
43,714,6
44,714,6
45,73,647
46,720,0
47,79,641
48,720,0
49,82,638
50,720,0
51,87,633
52,720,0
53,95,625
54,720,0
55,108,612
56,720,0
57,82,638
58,85,635
59,91,629
60,83,637
61,720,0
62,84,636
63,720,0
64,85,635
65,720,0
66,88,632
67,720,0
68,93,627
69,720,0
70,102,618
71,720,0
72,87,633
73,90,630
74,96,624
75,687,33
76,720,0
77,686,34
78,720,0
79,685,35
80,720,0
81,683,37
82,720,0
83,679,41
84,720,0
85,670,50
86,720,0
87,686,34
88,686,34
89,686,34
90,683,37
91,720,0
92,685,35
93,720,0
94,684,36
95,720,0
96,681,39
97,720,0
98,676,44
99,720,0
100,666,54
101,720,0
102,685,35
103,685,35
104,685,35
105,599,121
106,720,0
107,602,118
108,720,0
109,604,116
110,720,0
111,608,112
112,720,0
113,616,104
114,720,0
115,632,88
116,720,0
117,605,115
118,608,112
119,614,106
