window,column,finite,missing
2024-06-15,0,168,0
2024-06-15,1,168,0
2024-06-15,2,168,0
2024-06-15,3,168,0
2024-06-15,4,168,0
2024-06-15,5,168,0
2024-06-15,6,0,168
2024-06-15,7,0,168
2024-06-15,8,0,168
2024-06-15,9,0,168
2024-06-15,10,0,168
2024-06-15,11,0,168
2024-06-15,12,168,0
2024-06-15,13,168,0
2024-06-15,14,168,0
2024-06-15,15,168,0
2024-06-15,16,168,0
2024-06-15,17,168,0
2024-06-15,18,0,168
2024-06-15,19,0,168
2024-06-15,20,0,168
2024-06-15,21,0,168
2024-06-15,22,0,168
2024-06-15,23,0,168
2024-06-15,24,168,0
2024-06-15,25,168,0
2024-06-15,26,168,0
2024-06-15,27,168,0
2024-06-15,28,168,0
2024-06-15,29,168,0
2024-06-15,30,168,0
2024-06-15,31,168,0
2024-06-15,32,168,0
2024-06-15,33,168,0
2024-06-15,34,168,0
2024-06-15,35,168,0
2024-06-15,36,168,0
2024-06-15,37,168,0
2024-06-15,38,168,0
2024-06-15,39,168,0
2024-06-15,40,168,0
2024-06-15,41,168,0
2024-06-15,42,168,0
2024-06-15,43,168,0
2024-06-15,44,168,0
2024-06-15,45,0,168
2024-06-15,46,168,0
2024-06-15,47,5,163
2024-06-15,48,168,0
2024-06-15,49,104,64
2024-06-15,50,168,0
2024-06-15,51,101,67
2024-06-15,52,168,0
2024-06-15,53,93,75
2024-06-15,54,168,0
2024-06-15,55,78,90
2024-06-15,56,168,0
2024-06-15,57,2,166
2024-06-15,58,0,168
2024-06-15,59,0,168
2024-06-15,60,0,168
2024-06-15,61,168,0
2024-06-15,62,0,168
2024-06-15,63,168,0
2024-06-15,64,0,168
2024-06-15,65,168,0
2024-06-15,66,0,168
2024-06-15,67,168,0
2024-06-15,68,0,168
2024-06-15,69,168,0
2024-06-15,70,0,168
2024-06-15,71,168,0
2024-06-15,72,0,168
2024-06-15,73,0,168
2024-06-15,74,0,168
2024-06-15,75,168,0
2024-06-15,76,168,0
2024-06-15,77,168,0
2024-06-15,78,168,0
2024-06-15,79,168,0
2024-06-15,80,168,0
2024-06-15,81,168,0
2024-06-15,82,168,0
2024-06-15,83,168,0
2024-06-15,84,168,0
2024-06-15,85,168,0
2024-06-15,86,168,0
2024-06-15,87,168,0
2024-06-15,88,168,0
2024-06-15,89,168,0
2024-06-15,90,168,0
2024-06-15,91,168,0
2024-06-15,92,168,0
2024-06-15,93,168,0
2024-06-15,94,168,0
2024-06-15,95,168,0
2024-06-15,96,168,0
2024-06-15,97,168,0
2024-06-15,98,168,0
2024-06-15,99,168,0
2024-06-15,100,168,0
2024-06-15,101,168,0
2024-06-15,102,168,0
2024-06-15,103,168,0
2024-06-15,104,168,0
2024-06-15,105,129,39
2024-06-15,106,168,0
2024-06-15,107,128,40
2024-06-15,108,168,0
2024-06-15,109,126,42
2024-06-15,110,168,0
2024-06-15,111,124,44
2024-06-15,112,168,0
2024-06-15,113,119,49
2024-06-15,114,168,0
2024-06-15,115,109,59
2024-06-15,116,168,0
2024-06-15,117,125,43
2024-06-15,118,122,46
2024-06-15,119,116,52
