window,station,origin_assumed_brt,query_assumed_brt,source_assumed_brt,age_seconds,usable,value_m
2024-06-15,86472000,2024-06-15T00:00:00-03:00,2024-06-14T23:30:00-03:00,2024-06-14T23:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T01:00:00-03:00,2024-06-15T00:30:00-03:00,2024-06-15T00:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T02:00:00-03:00,2024-06-15T01:30:00-03:00,2024-06-15T01:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T03:00:00-03:00,2024-06-15T02:30:00-03:00,2024-06-15T02:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T04:00:00-03:00,2024-06-15T03:30:00-03:00,2024-06-15T03:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T05:00:00-03:00,2024-06-15T04:30:00-03:00,2024-06-15T04:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T06:00:00-03:00,2024-06-15T05:30:00-03:00,2024-06-15T05:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T07:00:00-03:00,2024-06-15T06:30:00-03:00,2024-06-15T06:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T08:00:00-03:00,2024-06-15T07:30:00-03:00,2024-06-15T07:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T09:00:00-03:00,2024-06-15T08:30:00-03:00,2024-06-15T08:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T10:00:00-03:00,2024-06-15T09:30:00-03:00,2024-06-15T09:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T11:00:00-03:00,2024-06-15T10:30:00-03:00,2024-06-15T10:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T12:00:00-03:00,2024-06-15T11:30:00-03:00,2024-06-15T11:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T13:00:00-03:00,2024-06-15T12:30:00-03:00,2024-06-15T12:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T14:00:00-03:00,2024-06-15T13:30:00-03:00,2024-06-15T13:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T15:00:00-03:00,2024-06-15T14:30:00-03:00,2024-06-15T14:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T16:00:00-03:00,2024-06-15T15:30:00-03:00,2024-06-15T15:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T17:00:00-03:00,2024-06-15T16:30:00-03:00,2024-06-15T16:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T18:00:00-03:00,2024-06-15T17:30:00-03:00,2024-06-15T17:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T19:00:00-03:00,2024-06-15T18:30:00-03:00,2024-06-15T18:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T20:00:00-03:00,2024-06-15T19:30:00-03:00,2024-06-15T19:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T21:00:00-03:00,2024-06-15T20:30:00-03:00,2024-06-15T20:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T22:00:00-03:00,2024-06-15T21:30:00-03:00,2024-06-15T21:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-15T23:00:00-03:00,2024-06-15T22:30:00-03:00,2024-06-15T22:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T00:00:00-03:00,2024-06-15T23:30:00-03:00,2024-06-15T23:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T01:00:00-03:00,2024-06-16T00:30:00-03:00,2024-06-16T00:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T02:00:00-03:00,2024-06-16T01:30:00-03:00,2024-06-16T01:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T03:00:00-03:00,2024-06-16T02:30:00-03:00,2024-06-16T02:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T04:00:00-03:00,2024-06-16T03:30:00-03:00,2024-06-16T03:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T05:00:00-03:00,2024-06-16T04:30:00-03:00,2024-06-16T04:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T06:00:00-03:00,2024-06-16T05:30:00-03:00,2024-06-16T05:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T07:00:00-03:00,2024-06-16T06:30:00-03:00,2024-06-16T06:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T08:00:00-03:00,2024-06-16T07:30:00-03:00,2024-06-16T07:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T09:00:00-03:00,2024-06-16T08:30:00-03:00,2024-06-16T08:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T10:00:00-03:00,2024-06-16T09:30:00-03:00,2024-06-16T09:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T11:00:00-03:00,2024-06-16T10:30:00-03:00,2024-06-16T10:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T12:00:00-03:00,2024-06-16T11:30:00-03:00,2024-06-16T11:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T13:00:00-03:00,2024-06-16T12:30:00-03:00,2024-06-16T12:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T14:00:00-03:00,2024-06-16T13:30:00-03:00,2024-06-16T13:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T15:00:00-03:00,2024-06-16T14:30:00-03:00,2024-06-16T14:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T16:00:00-03:00,2024-06-16T15:30:00-03:00,2024-06-16T15:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T17:00:00-03:00,2024-06-16T16:30:00-03:00,2024-06-16T16:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T18:00:00-03:00,2024-06-16T17:30:00-03:00,2024-06-16T17:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T19:00:00-03:00,2024-06-16T18:30:00-03:00,2024-06-16T18:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T20:00:00-03:00,2024-06-16T19:30:00-03:00,2024-06-16T19:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T21:00:00-03:00,2024-06-16T20:30:00-03:00,2024-06-16T20:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T22:00:00-03:00,2024-06-16T21:30:00-03:00,2024-06-16T21:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-16T23:00:00-03:00,2024-06-16T22:30:00-03:00,2024-06-16T22:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T00:00:00-03:00,2024-06-16T23:30:00-03:00,2024-06-16T23:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T01:00:00-03:00,2024-06-17T00:30:00-03:00,2024-06-17T00:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T02:00:00-03:00,2024-06-17T01:30:00-03:00,2024-06-17T01:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T03:00:00-03:00,2024-06-17T02:30:00-03:00,2024-06-17T02:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T04:00:00-03:00,2024-06-17T03:30:00-03:00,2024-06-17T03:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T05:00:00-03:00,2024-06-17T04:30:00-03:00,2024-06-17T04:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T06:00:00-03:00,2024-06-17T05:30:00-03:00,2024-06-17T05:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T07:00:00-03:00,2024-06-17T06:30:00-03:00,2024-06-17T06:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T08:00:00-03:00,2024-06-17T07:30:00-03:00,2024-06-17T07:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T09:00:00-03:00,2024-06-17T08:30:00-03:00,2024-06-17T08:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T10:00:00-03:00,2024-06-17T09:30:00-03:00,2024-06-17T09:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T11:00:00-03:00,2024-06-17T10:30:00-03:00,2024-06-17T10:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T12:00:00-03:00,2024-06-17T11:30:00-03:00,2024-06-17T11:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T13:00:00-03:00,2024-06-17T12:30:00-03:00,2024-06-17T12:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T14:00:00-03:00,2024-06-17T13:30:00-03:00,2024-06-17T13:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T15:00:00-03:00,2024-06-17T14:30:00-03:00,2024-06-17T14:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T16:00:00-03:00,2024-06-17T15:30:00-03:00,2024-06-17T15:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T17:00:00-03:00,2024-06-17T16:30:00-03:00,2024-06-17T16:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T18:00:00-03:00,2024-06-17T17:30:00-03:00,2024-06-17T17:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T19:00:00-03:00,2024-06-17T18:30:00-03:00,2024-06-17T18:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T20:00:00-03:00,2024-06-17T19:30:00-03:00,2024-06-17T19:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T21:00:00-03:00,2024-06-17T20:30:00-03:00,2024-06-17T20:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T22:00:00-03:00,2024-06-17T21:30:00-03:00,2024-06-17T21:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-17T23:00:00-03:00,2024-06-17T22:30:00-03:00,2024-06-17T22:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-18T00:00:00-03:00,2024-06-17T23:30:00-03:00,2024-06-17T23:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-18T01:00:00-03:00,2024-06-18T00:30:00-03:00,2024-06-18T00:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-18T02:00:00-03:00,2024-06-18T01:30:00-03:00,2024-06-18T01:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-18T03:00:00-03:00,2024-06-18T02:30:00-03:00,2024-06-18T02:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-18T04:00:00-03:00,2024-06-18T03:30:00-03:00,2024-06-18T03:30:00-03:00,0.0,False,
2024-06-15,86472000,2024-06-18T05:00:00-03:00,2024-06-18T04:30:00-03:00,2024-06-18T04:30:00-03:00,0.0,False,
