column,finite,missing
0,12835,77
1,0,12912
2,12790,122
3,12784,128
4,12776,136
5,12769,143
6,12802,110
7,12797,115
8,12782,130
9,12771,141
10,12758,154
11,12737,175
12,12475,437
13,12473,439
14,12382,530
15,12327,585
16,12283,629
17,12223,689
18,12077,835
19,12071,841
20,12060,852
21,12055,857
22,12046,866
23,12034,878
24,12910,2
25,12910,2
26,12910,2
27,12909,3
28,12908,4
29,12906,6
30,12902,10
31,12909,3
32,12909,3
33,12909,3
34,12907,5
35,12906,6
36,12904,8
37,12900,12
38,12910,2
39,12910,2
40,12910,2
41,12909,3
42,12908,4
43,12906,6
44,12902,10
45,12741,171
46,12912,0
47,12909,3
48,12912,0
49,12908,4
50,12912,0
51,12905,7
52,12912,0
53,12899,13
54,12912,0
55,12887,25
56,12912,0
57,12906,6
58,12903,9
59,12897,15
60,12256,656
61,12912,0
62,12295,617
63,12912,0
64,12330,582
65,12912,0
66,12360,552
67,12912,0
68,12444,468
69,12912,0
70,12539,373
71,12912,0
72,12292,620
73,12289,623
74,12283,629
75,12905,7
76,12912,0
77,12907,5
78,12912,0
79,12907,5
80,12912,0
81,12904,8
82,12912,0
83,12898,14
84,12912,0
85,12886,26
86,12912,0
87,12904,8
88,12901,11
89,12895,17
90,12908,4
91,12912,0
92,12908,4
93,12912,0
94,12906,6
95,12912,0
96,12902,10
97,12912,0
98,12896,16
99,12912,0
100,12883,29
101,12912,0
102,12905,7
103,12902,10
104,12896,16
105,12803,109
106,12912,0
107,12889,23
108,12912,0
109,12893,19
110,12912,0
111,12894,18
112,12912,0
113,12897,15
114,12912,0
115,12885,27
116,12912,0
117,12886,26
118,12883,29
119,12877,35
