window,horizon_h,scheduled_rows,boundary_exclusions,observed_targets,pairs,missing_truth,observed_without_base,high_targets,high_pairs
2018-08-30,1,167,1,163,161,4,2,63,61
2018-08-30,2,166,2,162,159,4,3,63,60
2018-08-30,3,165,3,161,157,4,4,63,59
2018-08-30,4,164,4,160,156,4,4,63,59
2018-08-30,5,163,5,159,155,4,4,63,59
2018-08-30,6,162,6,158,154,4,4,63,59
2018-08-30,7,161,7,157,153,4,4,63,59
2018-08-30,8,160,8,156,152,4,4,63,59
2018-08-30,9,159,9,155,151,4,4,63,59
2018-08-30,10,158,10,154,150,4,4,63,59
2018-08-30,11,157,11,153,149,4,4,63,59
2018-08-30,12,156,12,152,148,4,4,63,59
2018-09-30,1,167,1,164,161,3,3,41,40
2018-09-30,2,166,2,163,160,3,3,41,40
2018-09-30,3,165,3,162,159,3,3,41,40
2018-09-30,4,164,4,161,158,3,3,41,40
2018-09-30,5,163,5,160,157,3,3,41,40
2018-09-30,6,162,6,159,156,3,3,41,40
2018-09-30,7,161,7,158,155,3,3,41,40
2018-09-30,8,160,8,157,154,3,3,41,40
2018-09-30,9,159,9,156,153,3,3,41,40
2018-09-30,10,158,10,155,152,3,3,41,40
2018-09-30,11,157,11,155,152,2,3,41,40
2018-09-30,12,156,12,154,151,2,3,41,39
