column,finite,missing
0,744,0
1,744,0
2,744,0
3,744,0
4,744,0
5,744,0
6,0,744
7,0,744
8,0,744
9,0,744
10,0,744
11,0,744
12,0,744
13,0,744
14,0,744
15,0,744
16,0,744
17,0,744
18,0,744
19,0,744
20,0,744
21,0,744
22,0,744
23,0,744
24,744,0
25,744,0
26,744,0
27,744,0
28,744,0
29,744,0
30,744,0
31,744,0
32,744,0
33,744,0
34,744,0
35,744,0
36,744,0
37,744,0
38,744,0
39,744,0
40,744,0
41,744,0
42,744,0
43,744,0
44,744,0
45,593,151
46,744,0
47,729,15
48,744,0
49,741,3
50,744,0
51,744,0
52,744,0
53,744,0
54,744,0
55,744,0
56,744,0
57,729,15
58,729,15
59,729,15
60,742,2
61,744,0
62,742,2
63,744,0
64,744,0
65,744,0
66,744,0
67,744,0
68,744,0
69,744,0
70,744,0
71,744,0
72,742,2
73,742,2
74,742,2
75,0,744
76,744,0
77,0,744
78,744,0
79,0,744
80,744,0
81,0,744
82,744,0
83,0,744
84,744,0
85,0,744
86,744,0
87,0,744
88,0,744
89,0,744
90,706,38
91,744,0
92,743,1
93,744,0
94,744,0
95,744,0
96,744,0
97,744,0
98,744,0
99,744,0
100,744,0
101,744,0
102,743,1
103,743,1
104,743,1
105,741,3
106,744,0
107,744,0
108,744,0
109,744,0
110,744,0
111,744,0
112,744,0
113,744,0
114,744,0
115,744,0
116,744,0
117,744,0
118,744,0
119,744,0
