station,rows,finite_parsed_rain,effective_delay_seconds
86060010,789,789,25200
86099000,816,816,3600
86102000,815,815,18000
86117000,816,816,3600
86125000,0,0,10800
86125050,0,0,3600
86160000,3264,3252,900
86163000,816,816,3600
86200900,776,0,14400
86280500,816,816,3600
86298000,810,0,3600
86403000,771,771,3600
86410800,812,812,3600
86447000,804,804,3600
86448000,749,749,3600
86450000,802,802,900
86471000,811,811,900
86472000,3264,3098,1800
86472600,0,0,900
86479000,815,815,3600
86488000,814,814,3600
86493000,806,0,3600
86495500,816,69,3600
86500000,0,0,1800
86504900,0,0,3600
86505500,815,815,3600
86510000,3264,3256,900
