phase,horizon_h,recent,added,added_ge7,combined,weight_sum,added_weight_sum,latest_target_epoch,schedule
validation,1,4362,167,126,4529,4981,335,1759284000.0,6551
test,1,10841,167,126,11008,11472,335,1782871200.0,1967
validation,2,4360,166,126,4526,5060,346,1759284000.0,6550
test,2,10837,166,126,11003,11619,346,1782871200.0,1966
validation,3,4358,165,126,4523,5215,383,1759284000.0,6549
test,3,10834,165,126,10999,11893,383,1782871200.0,1965
validation,4,4356,164,126,4520,5388,408,1759284000.0,6548
test,4,10830,164,126,10994,12170,408,1782871200.0,1964
validation,5,4355,163,126,4518,5564,423,1759284000.0,6547
test,5,10828,163,126,10991,12575,423,1782871200.0,1963
validation,6,4354,162,126,4516,5764,430,1759284000.0,6546
test,6,10826,162,126,10988,12988,430,1782871200.0,1962
validation,7,4353,161,126,4514,5914,433,1759284000.0,6545
test,7,10824,161,126,10985,13303,433,1782871200.0,1961
validation,8,4352,160,126,4512,6048,436,1759284000.0,6544
test,8,10822,160,126,10982,13564,436,1782871200.0,1960
validation,9,4351,159,126,4510,6168,437,1759284000.0,6543
test,9,10821,159,126,10980,13800,437,1782871200.0,1959
validation,10,4350,158,126,4508,6276,440,1759284000.0,6542
test,10,10818,158,126,10976,13996,440,1782871200.0,1958
validation,11,4349,157,126,4506,6368,441,1759284000.0,6541
test,11,10817,157,126,10974,14142,441,1782871200.0,1957
validation,12,4348,156,126,4504,6450,446,1759284000.0,6540
test,12,10814,156,126,10970,14258,446,1782871200.0,1956
