phase,horizon_h,subset,reference,candidate,delta_hits,delta_mae_m,delta_max_abs_m
validation,1,all,observed_control,augmented,1,0.004275360891147134,-0.09985100555061477
validation,1,all,core_original,core_augmented,0,0.0028464582007936973,0.01950626915373954
validation,1,all,levels45_original,levels45_augmented,0,-0.0012669703543206762,0.005942344196930183
validation,1,all,rain108_original,rain108_augmented,0,0.006949699992921249,-0.009266994097202552
validation,1,all,core_original,levels45_original,1,0.0010104818147394154,-0.15664649691039068
validation,1,all,core_augmented,levels45_augmented,1,-0.003102946740374958,-0.17021042186720003
validation,1,all,rain108_original,observed_control,2,-0.0012793801776089554,-0.05103146247770152
validation,1,all,rain108_augmented,augmented,3,-0.00395371927938307,-0.14161547393111373
validation,1,all,core_original,rain108_original,-2,0.0013501602617554433,0.0072016583006095924
validation,1,all,core_augmented,rain108_augmented,-2,0.005453402053882995,-0.0215716049503325
validation,1,all,levels45_original,observed_control,-1,-0.0009397017305929276,0.11281669273329875
validation,1,all,levels45_augmented,augmented,0,0.004602629514874883,0.0070233429857538
validation,1,level_ge_7m,observed_control,augmented,0,0.009186836317805244,0.03081058338748477
validation,1,level_ge_7m,core_original,core_augmented,0,-0.010334665209998269,-0.021793444513996008
validation,1,level_ge_7m,levels45_original,levels45_augmented,0,-0.006558665755995598,-0.00875631819888767
validation,1,level_ge_7m,rain108_original,rain108_augmented,0,0.00020582305089449082,0.04631355349957378
validation,1,level_ge_7m,core_original,levels45_original,0,-0.006238158744676869,0.03066712170103969
validation,1,level_ge_7m,core_augmented,levels45_augmented,0,-0.0024621592906741985,0.04370424801614803
validation,1,level_ge_7m,rain108_original,observed_control,0,-0.0044424461556561295,0.06667191757442303
validation,1,level_ge_7m,rain108_augmented,augmented,0,0.004538567111254624,0.051168947462334025
validation,1,level_ge_7m,core_original,rain108_original,0,0.0005884398547306713,0.002726034808523181
validation,1,level_ge_7m,core_augmented,rain108_augmented,0,0.01112892811562343,0.07083303282209297
validation,1,level_ge_7m,levels45_original,observed_control,0,0.002384152443751411,0.038730830681906525
