phase,horizon_h,subset,delta_hits,delta_mae_m,delta_max_abs_m
validation,1,all,0,-0.0006884414960338751,-0.034675815737644555
validation,1,level_ge_7m,0,-0.0033473479195556266,-0.004218996299524491
validation,2,all,1,0.002597180639784105,-0.01989975894462992
validation,2,level_ge_7m,0,-0.002013359996720185,0.010948347535940428
validation,3,all,-9,0.007219471343640246,0.0064072983554523955
validation,3,level_ge_7m,0,-0.01933946093254793,-0.06339669767501377
validation,4,all,-33,0.008090148796903084,-0.03911537766497464
validation,4,level_ge_7m,-3,0.12566164732902668,0.14918212368811812
validation,5,all,-26,0.010497828613039661,0.21373753929071926
validation,5,level_ge_7m,0,0.006379609102021316,0.14011950076729995
validation,6,all,-53,0.005316238169609008,0.24565186029638575
validation,6,level_ge_7m,-3,0.09636216865067487,0.28973476713681556
validation,7,all,37,-9.32443004554584e-05,0.014048440690993758
validation,7,level_ge_7m,4,-0.06150573024498207,-1.0452492700780347
validation,8,all,83,0.0021399766051833358,0.5466922563394294
validation,8,level_ge_7m,1,-0.11243773472588697,-1.7449040386662986
validation,9,all,8,-0.0018347311765408159,-0.31293930354622024
validation,9,level_ge_7m,-2,-0.1050894961154093,-1.1570199158295136
validation,10,all,31,-0.0009848402657179345,-0.5394809687245452
validation,10,level_ge_7m,-1,-0.02810162197216337,0.006998047081714809
validation,11,all,125,-0.018833371115546393,-0.7832589581958462
validation,11,level_ge_7m,2,-0.1428579836782795,-0.4357135118372373
validation,12,all,76,-0.015084780197278935,-0.7335945964663448
validation,12,level_ge_7m,0,-0.01568807538512651,0.007507799847841667
test,1,all,2,-0.0011383524948160445,-0.3473209453160333
test,1,level_ge_7m,1,-0.012708090869785,-0.3473209453160333
test,2,all,0,0.0001426869558359828,-0.7455343566564183
test,2,level_ge_7m,0,-0.01234174109862557,-0.7455343566564183
test,3,all,4,0.002159985756387109,-0.47188848844872666
test,3,level_ge_7m,12,-0.035251151579918594,-0.47188848844872666
test,4,all,8,0.0007649972987025938,-0.3699763386078203
test,4,level_ge_7m,6,-0.035703628612883176,-0.3699763386078203
test,5,all,3,-0.0041762309364173356,-0.5348428246086465
test,5,level_ge_7m,6,-0.03525079734831571,-0.5348428246086465
test,6,all,17,-0.0053057839027925435,-1.0127787409189821
test,6,level_ge_7m,14,-0.0631589948553346,-1.0127787409189821
test,7,all,58,-0.035021023969181775,-0.9734106328684513
test,7,level_ge_7m,32,-0.18814073306791823,-0.9734106328684513
test,8,all,37,-0.029262607967469823,-0.7398311805969318
test,8,level_ge_7m,15,-0.1659728338307831,-0.7398311805969318
test,9,all,34,-0.026860047933664033,0.16880306777537513
test,9,level_ge_7m,11,-0.15983530688365533,0.16880306777537513
test,10,all,-20,-0.012760555709762589,-0.01644130362609797
test,10,level_ge_7m,16,-0.12182251903922581,-0.01644130362609797
test,11,all,-8,-0.0029801712092276667,0.960000184281288
test,11,level_ge_7m,16,-0.08642101080517439,0.960000184281288
test,12,all,-12,-0.014192388214005036,0.3846427845176468
test,12,level_ge_7m,4,-0.13147522341283668,0.3846427845176468
