horizon_h,valid_pairs,finite_targets,target_missing_within_grid,target_beyond_window,base_missing_target_finite,base_finite_target_missing,maximum_response_m
1,447,453,26,1,6,6,1.7199999999999989
2,445,452,26,2,7,8,3.0
3,443,451,26,3,8,10,4.210000000000001
4,441,450,26,4,9,12,5.380000000000001
5,439,449,26,5,10,14,6.529999999999999
6,437,448,26,6,11,16,7.6
7,435,447,26,7,12,18,8.499999999999998
8,433,446,26,8,13,20,9.25
9,431,445,26,9,14,22,9.990000000000002
10,429,444,26,10,15,24,10.740000000000002
11,427,443,26,11,16,26,11.25
12,426,442,26,12,16,27,11.530000000000001
