origin,plant,variable,back_hours,source_time,value,contradictory_components
2020-07-08T05:00:00-03:00,JIUHMC,I,0,2020-07-08 04:00:00,0,False
2020-07-08T06:00:00-03:00,JIUHMC,Q,0,2020-07-08 05:00:00,0,False
2020-07-08T06:00:00-03:00,JIUHMC,I,0,2020-07-08 05:00:00,0,False
2020-07-08T07:00:00-03:00,JIUHMC,Q,0,2020-07-08 06:00:00,0,False
2020-07-08T07:00:00-03:00,JIUHMC,Q,1,2020-07-08 05:00:00,0,False
2020-07-08T07:00:00-03:00,JIUHMC,I,0,2020-07-08 06:00:00,0,False
2020-07-08T08:00:00-03:00,JIUHMC,Q,0,2020-07-08 07:00:00,0,False
2020-07-08T08:00:00-03:00,JIUHMC,Q,1,2020-07-08 06:00:00,0,False
2020-07-08T08:00:00-03:00,JIUHMC,Q,2,2020-07-08 05:00:00,0,False
2020-07-08T08:00:00-03:00,JIUHMC,I,0,2020-07-08 07:00:00,0,False
2020-07-08T09:00:00-03:00,JIUHMC,Q,0,2020-07-08 08:00:00,0,False
2020-07-08T09:00:00-03:00,JIUHMC,Q,1,2020-07-08 07:00:00,0,False
2020-07-08T09:00:00-03:00,JIUHMC,Q,2,2020-07-08 06:00:00,0,False
2020-07-08T09:00:00-03:00,JIUHMC,I,0,2020-07-08 08:00:00,0,False
2020-07-08T10:00:00-03:00,JIUHMC,Q,0,2020-07-08 09:00:00,0,False
2020-07-08T10:00:00-03:00,JIUHMC,Q,1,2020-07-08 08:00:00,0,False
2020-07-08T10:00:00-03:00,JIUHMC,Q,2,2020-07-08 07:00:00,0,False
2020-07-08T10:00:00-03:00,JIUHMC,Q,4,2020-07-08 05:00:00,0,False
2020-07-08T10:00:00-03:00,JIUHMC,I,0,2020-07-08 09:00:00,0,False
2020-07-08T11:00:00-03:00,JIUHQJ,Q,0,2020-07-08 10:00:00,0,True
2020-07-08T11:00:00-03:00,JIUHQJ,I,0,2020-07-08 10:00:00,0,False
2020-07-08T11:00:00-03:00,JIUHMC,Q,0,2020-07-08 10:00:00,0,False
2020-07-08T11:00:00-03:00,JIUHMC,Q,1,2020-07-08 09:00:00,0,False
2020-07-08T11:00:00-03:00,JIUHMC,Q,2,2020-07-08 08:00:00,0,False
2020-07-08T11:00:00-03:00,JIUHMC,Q,4,2020-07-08 06:00:00,0,False
2020-07-08T11:00:00-03:00,JIUHMC,I,0,2020-07-08 10:00:00,0,False
2020-07-08T12:00:00-03:00,JIUHQJ,Q,0,2020-07-08 11:00:00,0,True
2020-07-08T12:00:00-03:00,JIUHQJ,Q,1,2020-07-08 10:00:00,0,True
2020-07-08T12:00:00-03:00,JIUHQJ,I,0,2020-07-08 11:00:00,0,False
2020-07-08T12:00:00-03:00,JIUHMC,Q,0,2020-07-08 11:00:00,0,False
2020-07-08T12:00:00-03:00,JIUHMC,Q,1,2020-07-08 10:00:00,0,False
2020-07-08T12:00:00-03:00,JIUHMC,Q,2,2020-07-08 09:00:00,0,False
2020-07-08T12:00:00-03:00,JIUHMC,Q,4,2020-07-08 07:00:00,0,False
2020-07-08T12:00:00-03:00,JIUHMC,I,0,2020-07-08 11:00:00,0,False
2020-07-08T13:00:00-03:00,JIUHQJ,Q,0,2020-07-08 12:00:00,0,True
2020-07-08T13:00:00-03:00,JIUHQJ,Q,1,2020-07-08 11:00:00,0,True
2020-07-08T13:00:00-03:00,JIUHQJ,Q,2,2020-07-08 10:00:00,0,True
2020-07-08T13:00:00-03:00,JIUHQJ,I,0,2020-07-08 12:00:00,0,False
2020-07-08T13:00:00-03:00,JIUHMC,Q,0,2020-07-08 12:00:00,0,False
2020-07-08T13:00:00-03:00,JIUHMC,Q,1,2020-07-08 11:00:00,0,False
2020-07-08T13:00:00-03:00,JIUHMC,Q,2,2020-07-08 10:00:00,0,False
2020-07-08T13:00:00-03:00,JIUHMC,Q,4,2020-07-08 08:00:00,0,False
2020-07-08T13:00:00-03:00,JIUHMC,I,0,2020-07-08 12:00:00,0,False
2020-07-08T14:00:00-03:00,JIUHQJ,Q,0,2020-07-08 13:00:00,0,True
2020-07-08T14:00:00-03:00,JIUHQJ,Q,1,2020-07-08 12:00:00,0,True
2020-07-08T14:00:00-03:00,JIUHQJ,Q,2,2020-07-08 11:00:00,0,True
2020-07-08T14:00:00-03:00,JIUHQJ,I,0,2020-07-08 13:00:00,0,False
2020-07-08T14:00:00-03:00,JIUHMC,Q,0,2020-07-08 13:00:00,0,False
2020-07-08T14:00:00-03:00,JIUHMC,Q,1,2020-07-08 12:00:00,0,False
2020-07-08T14:00:00-03:00,JIUHMC,Q,2,2020-07-08 11:00:00,0,False
2020-07-08T14:00:00-03:00,JIUHMC,Q,4,2020-07-08 09:00:00,0,False
2020-07-08T14:00:00-03:00,JIUHMC,Q,8,2020-07-08 05:00:00,0,False
2020-07-08T14:00:00-03:00,JIUHMC,I,0,2020-07-08 13:00:00,0,False
2020-07-08T15:00:00-03:00,JIUHQJ,Q,0,2020-07-08 14:00:00,0,True
2020-07-08T15:00:00-03:00,JIUHQJ,Q,1,2020-07-08 13:00:00,0,True
2020-07-08T15:00:00-03:00,JIUHQJ,Q,2,2020-07-08 12:00:00,0,True
2020-07-08T15:00:00-03:00,JIUHQJ,Q,4,2020-07-08 10:00:00,0,True
2020-07-08T15:00:00-03:00,JIUHQJ,I,0,2020-07-08 14:00:00,0,False
2020-07-08T15:00:00-03:00,JIUHMC,Q,0,2020-07-08 14:00:00,0,False
2020-07-08T15:00:00-03:00,JIUHMC,Q,1,2020-07-08 13:00:00,0,False
