window,origin,anchor,selected,raw_qc,base,usable
2024-06-15,2024-06-15T00:00:00-03:00,2024-06-14T23:45:00-03:00,2024-06-14T23:45:00-03:00,Dado aprovado,1.54,True
2024-06-15,2024-06-15T01:00:00-03:00,2024-06-15T00:45:00-03:00,2024-06-15T00:45:00-03:00,Dado aprovado,1.48,True
2024-06-15,2024-06-15T02:00:00-03:00,2024-06-15T01:45:00-03:00,2024-06-15T01:45:00-03:00,Dado aprovado,1.43,True
2024-06-15,2024-06-15T03:00:00-03:00,2024-06-15T02:45:00-03:00,2024-06-15T02:45:00-03:00,Dado aprovado,1.39,True
2024-06-15,2024-06-15T04:00:00-03:00,2024-06-15T03:45:00-03:00,2024-06-15T03:45:00-03:00,Dado aprovado,1.35,True
2024-06-15,2024-06-15T05:00:00-03:00,2024-06-15T04:45:00-03:00,2024-06-15T04:45:00-03:00,Dado aprovado,1.28,True
2024-06-15,2024-06-15T06:00:00-03:00,2024-06-15T05:45:00-03:00,2024-06-15T05:45:00-03:00,Dado aprovado,1.26,True
2024-06-15,2024-06-15T07:00:00-03:00,2024-06-15T06:45:00-03:00,2024-06-15T06:45:00-03:00,Dado aprovado,1.24,True
2024-06-15,2024-06-15T08:00:00-03:00,2024-06-15T07:45:00-03:00,2024-06-15T07:45:00-03:00,Dado aprovado,1.28,True
2024-06-15,2024-06-15T09:00:00-03:00,2024-06-15T08:45:00-03:00,2024-06-15T08:45:00-03:00,Dado aprovado,1.27,True
2024-06-15,2024-06-15T10:00:00-03:00,2024-06-15T09:45:00-03:00,2024-06-15T09:45:00-03:00,Dado aprovado,1.28,True
2024-06-15,2024-06-15T11:00:00-03:00,2024-06-15T10:45:00-03:00,2024-06-15T10:45:00-03:00,Dado aprovado,1.36,True
2024-06-15,2024-06-15T12:00:00-03:00,2024-06-15T11:45:00-03:00,2024-06-15T11:45:00-03:00,Dado aprovado,1.38,True
2024-06-15,2024-06-15T13:00:00-03:00,2024-06-15T12:45:00-03:00,2024-06-15T12:45:00-03:00,Dado aprovado,1.46,True
2024-06-15,2024-06-15T14:00:00-03:00,2024-06-15T13:45:00-03:00,2024-06-15T13:45:00-03:00,Dado aprovado,1.49,True
2024-06-15,2024-06-15T15:00:00-03:00,2024-06-15T14:45:00-03:00,2024-06-15T14:45:00-03:00,Dado aprovado,1.5,True
2024-06-15,2024-06-15T16:00:00-03:00,2024-06-15T15:45:00-03:00,2024-06-15T15:45:00-03:00,Dado aprovado,1.51,True
2024-06-15,2024-06-15T17:00:00-03:00,2024-06-15T16:45:00-03:00,2024-06-15T16:45:00-03:00,Dado aprovado,1.5,True
2024-06-15,2024-06-15T18:00:00-03:00,2024-06-15T17:45:00-03:00,2024-06-15T17:45:00-03:00,Dado aprovado,1.49,True
2024-06-15,2024-06-15T19:00:00-03:00,2024-06-15T18:45:00-03:00,2024-06-15T18:45:00-03:00,Dado aprovado,1.47,True
2024-06-15,2024-06-15T20:00:00-03:00,2024-06-15T19:45:00-03:00,2024-06-15T19:45:00-03:00,Dado aprovado,1.46,True
2024-06-15,2024-06-15T21:00:00-03:00,2024-06-15T20:45:00-03:00,2024-06-15T20:45:00-03:00,Dado aprovado,1.47,True
2024-06-15,2024-06-15T22:00:00-03:00,2024-06-15T21:45:00-03:00,2024-06-15T21:45:00-03:00,Dado aprovado,1.46,True
2024-06-15,2024-06-15T23:00:00-03:00,2024-06-15T22:45:00-03:00,2024-06-15T22:45:00-03:00,Dado aprovado,1.46,True
2024-06-15,2024-06-16T00:00:00-03:00,2024-06-15T23:45:00-03:00,2024-06-15T23:45:00-03:00,Dado aprovado,1.46,True
2024-06-15,2024-06-16T01:00:00-03:00,2024-06-16T00:45:00-03:00,2024-06-16T00:45:00-03:00,Dado aprovado,1.48,True
