window,column,name,finite,missing
2024-06-15,0,86510000:H,168,0
2024-06-15,1,86510000:dH0.5,168,0
2024-06-15,2,86510000:dH1,168,0
2024-06-15,3,86510000:dH2,168,0
2024-06-15,4,86510000:dH4,168,0
2024-06-15,5,86510000:dH8,168,0
2024-06-15,6,86472000:H,0,168
2024-06-15,7,86472000:dH0.5,0,168
2024-06-15,8,86472000:dH1,0,168
2024-06-15,9,86472000:dH2,0,168
2024-06-15,10,86472000:dH4,0,168
2024-06-15,11,86472000:dH8,0,168
2024-06-15,12,86472600:H,168,0
2024-06-15,13,86472600:dH0.5,168,0
2024-06-15,14,86472600:dH1,168,0
2024-06-15,15,86472600:dH2,168,0
2024-06-15,16,86472600:dH4,168,0
2024-06-15,17,86472600:dH8,168,0
2024-06-15,18,86500000:H,0,168
2024-06-15,19,86500000:dH0.5,0,168
2024-06-15,20,86500000:dH1,0,168
2024-06-15,21,86500000:dH2,0,168
2024-06-15,22,86500000:dH4,0,168
2024-06-15,23,86500000:dH8,0,168
2024-06-15,24,julho:Q06,168,0
2024-06-15,25,julho:Q,168,0
2024-06-15,26,julho:I,168,0
2024-06-15,27,julho:dQ1,168,0
2024-06-15,28,julho:dQ2,168,0
2024-06-15,29,julho:dQ4,168,0
2024-06-15,30,julho:dQ8,168,0
2024-06-15,31,monte:Q06,168,0
2024-06-15,32,monte:Q,168,0
2024-06-15,33,monte:I,168,0
2024-06-15,34,monte:dQ1,168,0
2024-06-15,35,monte:dQ2,168,0
2024-06-15,36,monte:dQ4,168,0
2024-06-15,37,monte:dQ8,168,0
2024-06-15,38,castro:Q06,168,0
2024-06-15,39,castro:Q,168,0
2024-06-15,40,castro:I,168,0
2024-06-15,41,castro:dQ1,168,0
2024-06-15,42,castro:dQ2,168,0
2024-06-15,43,castro:dQ4,168,0
2024-06-15,44,castro:dQ8,168,0
2024-06-15,45,Baixo Antas:P1,0,168
2024-06-15,46,Baixo Antas:C1,168,0
2024-06-15,47,Baixo Antas:P3,5,163
2024-06-15,48,Baixo Antas:C3,168,0
2024-06-15,49,Baixo Antas:P6,104,64
2024-06-15,50,Baixo Antas:C6,168,0
2024-06-15,51,Baixo Antas:P12,101,67
2024-06-15,52,Baixo Antas:C12,168,0
2024-06-15,53,Baixo Antas:P24,93,75
2024-06-15,54,Baixo Antas:C24,168,0
2024-06-15,55,Baixo Antas:P48,78,90
2024-06-15,56,Baixo Antas:C48,168,0
2024-06-15,57,Baixo Antas:P3lag3,2,166
2024-06-15,58,Baixo Antas:P3lag6,0,168
2024-06-15,59,Baixo Antas:P3lag12,0,168
2024-06-15,60,Carreiro:P1,0,168
2024-06-15,61,Carreiro:C1,168,0
2024-06-15,62,Carreiro:P3,0,168
2024-06-15,63,Carreiro:C3,168,0
2024-06-15,64,Carreiro:P6,0,168
2024-06-15,65,Carreiro:C6,168,0
2024-06-15,66,Carreiro:P12,0,168
2024-06-15,67,Carreiro:C12,168,0
2024-06-15,68,Carreiro:P24,0,168
2024-06-15,69,Carreiro:C24,168,0
2024-06-15,70,Carreiro:P48,0,168
2024-06-15,71,Carreiro:C48,168,0
2024-06-15,72,Carreiro:P3lag3,0,168
2024-06-15,73,Carreiro:P3lag6,0,168
2024-06-15,74,Carreiro:P3lag12,0,168
2024-06-15,75,Prata-Turvo:P1,168,0
2024-06-15,76,Prata-Turvo:C1,168,0
2024-06-15,77,Prata-Turvo:P3,168,0
2024-06-15,78,Prata-Turvo:C3,168,0
2024-06-15,79,Prata-Turvo:P6,168,0
2024-06-15,80,Prata-Turvo:C6,168,0
2024-06-15,81,Prata-Turvo:P12,168,0
2024-06-15,82,Prata-Turvo:C12,168,0
2024-06-15,83,Prata-Turvo:P24,168,0
2024-06-15,84,Prata-Turvo:C24,168,0
2024-06-15,85,Prata-Turvo:P48,168,0
2024-06-15,86,Prata-Turvo:C48,168,0
2024-06-15,87,Prata-Turvo:P3lag3,168,0
2024-06-15,88,Prata-Turvo:P3lag6,168,0
2024-06-15,89,Prata-Turvo:P3lag12,168,0
2024-06-15,90,Alto Antas:P1,168,0
2024-06-15,91,Alto Antas:C1,168,0
2024-06-15,92,Alto Antas:P3,168,0
2024-06-15,93,Alto Antas:C3,168,0
2024-06-15,94,Alto Antas:P6,168,0
2024-06-15,95,Alto Antas:C6,168,0
2024-06-15,96,Alto Antas:P12,168,0
2024-06-15,97,Alto Antas:C12,168,0
2024-06-15,98,Alto Antas:P24,168,0
2024-06-15,99,Alto Antas:C24,168,0
2024-06-15,100,Alto Antas:P48,168,0
2024-06-15,101,Alto Antas:C48,168,0
2024-06-15,102,Alto Antas:P3lag3,168,0
2024-06-15,103,Alto Antas:P3lag6,168,0
2024-06-15,104,Alto Antas:P3lag12,168,0
2024-06-15,105,Tainhas:P1,129,39
2024-06-15,106,Tainhas:C1,168,0
2024-06-15,107,Tainhas:P3,128,40
2024-06-15,108,Tainhas:C3,168,0
2024-06-15,109,Tainhas:P6,126,42
2024-06-15,110,Tainhas:C6,168,0
2024-06-15,111,Tainhas:P12,124,44
2024-06-15,112,Tainhas:C12,168,0
2024-06-15,113,Tainhas:P24,119,49
2024-06-15,114,Tainhas:C24,168,0
2024-06-15,115,Tainhas:P48,109,59
2024-06-15,116,Tainhas:C48,168,0
2024-06-15,117,Tainhas:P3lag3,125,43
2024-06-15,118,Tainhas:P3lag6,122,46
2024-06-15,119,Tainhas:P3lag12,116,52
