window,horizon_h,scheduled_rows,boundary_exclusions,observed_targets,pairs,missing_truth,observed_without_base,high_targets,high_pairs
2024-06-15,1,167,1,167,167,0,0,126,126
2024-06-15,2,166,2,166,166,0,0,126,126
2024-06-15,3,165,3,165,165,0,0,126,126
2024-06-15,4,164,4,164,164,0,0,126,126
2024-06-15,5,163,5,163,163,0,0,126,126
2024-06-15,6,162,6,162,162,0,0,126,126
2024-06-15,7,161,7,161,161,0,0,126,126
2024-06-15,8,160,8,160,160,0,0,126,126
2024-06-15,9,159,9,159,159,0,0,126,126
2024-06-15,10,158,10,158,158,0,0,126,126
2024-06-15,11,157,11,157,157,0,0,126,126
2024-06-15,12,156,12,156,156,0,0,126,126
