phase,horizon_h,scheduled,observed,missing_truth,pairs,observed_missing_base,high_observed,high_pairs
validation,1,6551,6517,34,6485,32,28,28
test,1,1967,1944,23,1938,6,237,236
validation,2,6550,6516,34,6483,33,28,28
test,2,1966,1943,23,1935,8,237,236
validation,3,6549,6515,34,6481,34,28,28
test,3,1965,1942,23,1932,10,237,236
validation,4,6548,6514,34,6480,34,28,28
test,4,1964,1941,23,1930,11,237,236
validation,5,6547,6513,34,6479,34,28,28
test,5,1963,1940,23,1928,12,237,236
validation,6,6546,6512,34,6478,34,28,28
test,6,1962,1939,23,1926,13,237,236
validation,7,6545,6511,34,6478,33,28,28
test,7,1961,1938,23,1924,14,237,236
validation,8,6544,6510,34,6476,34,28,28
test,8,1960,1937,23,1922,15,237,236
validation,9,6543,6509,34,6475,34,28,28
test,9,1959,1936,23,1920,16,237,236
validation,10,6542,6508,34,6474,34,28,28
test,10,1958,1935,23,1918,17,237,236
validation,11,6541,6507,34,6473,34,28,28
test,11,1957,1934,23,1916,18,237,236
validation,12,6540,6506,34,6472,34,28,28
test,12,1956,1933,23,1914,19,237,236
