phase,horizon_h,recent_rows,2018_rows,control_weight_sum,2018_weight_sum,augmented_rows,augmented_weight_sum,recent_with_missing_aux18,latest_recent_target,cutoff_exclusive,leaf_nodes,loss
validation,1,4360,322,4692,382,4682,5074,694,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,1,10845,322,11231,382,11167,11613,1167,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,2,4360,319,4800,393,4679,5193,695,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,2,10843,319,11453,393,11162,11846,1170,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,3,4358,316,4946,406,4674,5352,695,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,3,10839,316,11719,406,11155,12125,1168,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,4,4357,314,5095,442,4671,5537,697,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,4,10837,314,12055,442,11151,12497,1174,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,5,4356,312,5288,456,4668,5744,699,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,5,10835,312,12457,456,11147,12913,1173,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,6,4355,310,5443,466,4665,5909,699,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,6,10833,310,12797,466,11143,13263,1173,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,7,4354,308,5572,472,4662,6044,698,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,7,10832,308,13054,472,11140,13526,1171,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,8,4353,306,5709,482,4659,6191,698,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,8,10829,306,13343,482,11135,13825,1170,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,9,4352,304,5800,492,4656,6292,698,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,9,10827,304,13507,492,11131,13999,1169,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,10,4351,302,5909,500,4653,6409,698,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,10,10825,302,13677,500,11127,14177,1169,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,11,4350,301,5984,509,4651,6493,698,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,11,10823,301,13799,509,11124,14308,1168,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,12,4349,299,6053,525,4648,6578,699,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,12,10821,299,13863,525,11120,14388,1169,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
