window,column,name,finite,missing
2018-08-30,0,86510000:H,164,4
2018-08-30,1,86510000:dH0.5,0,168
2018-08-30,2,86510000:dH1,163,5
2018-08-30,3,86510000:dH2,162,6
2018-08-30,4,86510000:dH4,160,8
2018-08-30,5,86510000:dH8,160,8
2018-08-30,6,86472000:H,167,1
2018-08-30,7,86472000:dH0.5,167,1
2018-08-30,8,86472000:dH1,166,2
2018-08-30,9,86472000:dH2,166,2
2018-08-30,10,86472000:dH4,166,2
2018-08-30,11,86472000:dH8,167,1
2018-08-30,12,86472600:H,0,168
2018-08-30,13,86472600:dH0.5,0,168
2018-08-30,14,86472600:dH1,0,168
2018-08-30,15,86472600:dH2,0,168
2018-08-30,16,86472600:dH4,0,168
2018-08-30,17,86472600:dH8,0,168
2018-08-30,18,86500000:H,0,168
2018-08-30,19,86500000:dH0.5,0,168
2018-08-30,20,86500000:dH1,0,168
2018-08-30,21,86500000:dH2,0,168
2018-08-30,22,86500000:dH4,0,168
2018-08-30,23,86500000:dH8,0,168
2018-08-30,24,julho:Q06,168,0
2018-08-30,25,julho:Q,168,0
2018-08-30,26,julho:I,168,0
2018-08-30,27,julho:dQ1,168,0
2018-08-30,28,julho:dQ2,168,0
2018-08-30,29,julho:dQ4,168,0
2018-08-30,30,julho:dQ8,168,0
2018-08-30,31,monte:Q06,168,0
2018-08-30,32,monte:Q,168,0
2018-08-30,33,monte:I,168,0
2018-08-30,34,monte:dQ1,168,0
2018-08-30,35,monte:dQ2,168,0
2018-08-30,36,monte:dQ4,168,0
2018-08-30,37,monte:dQ8,168,0
2018-08-30,38,castro:Q06,168,0
2018-08-30,39,castro:Q,168,0
2018-08-30,40,castro:I,168,0
2018-08-30,41,castro:dQ1,168,0
2018-08-30,42,castro:dQ2,168,0
2018-08-30,43,castro:dQ4,168,0
2018-08-30,44,castro:dQ8,168,0
2018-08-30,45,Baixo Antas:P1,0,168
2018-08-30,46,Baixo Antas:C1,168,0
2018-08-30,47,Baixo Antas:P3,129,39
2018-08-30,48,Baixo Antas:C3,168,0
2018-08-30,49,Baixo Antas:P6,129,39
2018-08-30,50,Baixo Antas:C6,168,0
2018-08-30,51,Baixo Antas:P12,129,39
2018-08-30,52,Baixo Antas:C12,168,0
2018-08-30,53,Baixo Antas:P24,129,39
2018-08-30,54,Baixo Antas:C24,168,0
2018-08-30,55,Baixo Antas:P48,129,39
2018-08-30,56,Baixo Antas:C48,168,0
2018-08-30,57,Baixo Antas:P3lag3,126,42
2018-08-30,58,Baixo Antas:P3lag6,123,45
2018-08-30,59,Baixo Antas:P3lag12,117,51
2018-08-30,60,Carreiro:P1,168,0
2018-08-30,61,Carreiro:C1,168,0
2018-08-30,62,Carreiro:P3,168,0
2018-08-30,63,Carreiro:C3,168,0
2018-08-30,64,Carreiro:P6,168,0
2018-08-30,65,Carreiro:C6,168,0
2018-08-30,66,Carreiro:P12,168,0
2018-08-30,67,Carreiro:C12,168,0
2018-08-30,68,Carreiro:P24,168,0
2018-08-30,69,Carreiro:C24,168,0
2018-08-30,70,Carreiro:P48,168,0
2018-08-30,71,Carreiro:C48,168,0
2018-08-30,72,Carreiro:P3lag3,168,0
2018-08-30,73,Carreiro:P3lag6,168,0
2018-08-30,74,Carreiro:P3lag12,168,0
2018-08-30,75,Prata-Turvo:P1,0,168
2018-08-30,76,Prata-Turvo:C1,168,0
2018-08-30,77,Prata-Turvo:P3,0,168
2018-08-30,78,Prata-Turvo:C3,168,0
2018-08-30,79,Prata-Turvo:P6,0,168
2018-08-30,80,Prata-Turvo:C6,168,0
2018-08-30,81,Prata-Turvo:P12,0,168
2018-08-30,82,Prata-Turvo:C12,168,0
2018-08-30,83,Prata-Turvo:P24,0,168
2018-08-30,84,Prata-Turvo:C24,168,0
2018-08-30,85,Prata-Turvo:P48,0,168
