phase,horizon_h,subset,delta_hits,delta_mae_m,delta_max_m
validation,1,all,0,0.0001800777090648041,-0.028080315231227893
validation,1,level_ge_7m,0,-0.00030595767192610757,0.00966518892528967
validation,2,all,-3,4.370034435229042e-05,0.044630628958779006
validation,2,level_ge_7m,0,-0.0034240191787258123,-0.008259246066478099
validation,3,all,-3,0.0004899821538456445,6.4897109908201855e-06
validation,3,level_ge_7m,0,-0.0038086771143687748,-0.024190565997242786
validation,4,all,5,-0.001625794595693432,-0.050546841649937946
validation,4,level_ge_7m,0,-0.017928693861456624,-0.05537085328930669
validation,5,all,-2,0.001505370925808991,0.10476090226373458
validation,5,level_ge_7m,0,0.026177972460932952,0.15449793901220055
validation,6,all,6,-0.0011661103590162175,-0.008716392876515044
validation,6,level_ge_7m,0,-0.0007149835165043417,-0.212521502912157
validation,7,all,-8,0.001689903173199836,0.21517865197941788
validation,7,level_ge_7m,1,0.005252774794312631,0.1323488534714201
validation,8,all,-22,0.004515284934057784,0.01598615220020072
validation,8,level_ge_7m,1,-0.02578865035671213,0.0994626714759761
validation,9,all,-7,0.001265698896482259,0.20078982859513417
validation,9,level_ge_7m,0,0.04387216160449636,0.22879044944905047
validation,10,all,11,-0.002343928266604567,-0.013866877358355012
validation,10,level_ge_7m,1,0.006472653328789324,0.002391510125370644
validation,11,all,32,-0.0007546207059173637,-0.2664847405188886
validation,11,level_ge_7m,1,-0.003671545530317233,-0.004858035860415555
validation,12,all,26,-0.0021689982117992224,-0.11834229433878996
validation,12,level_ge_7m,-1,-0.016656222766319173,0.012220150827555898
test,1,all,0,9.871636441526749e-05,0.008843817965568768
test,1,level_ge_7m,0,-1.5929268017328413e-05,0.008843817965568768
test,2,all,0,0.00019501778648880336,0.023302871669672598
test,2,level_ge_7m,0,0.0027473219660653914,0.023302871669672598
test,3,all,1,-0.0022715450303628093,-0.012697966441592712
test,3,level_ge_7m,0,-0.004468585878239534,-0.012697966441592712
test,4,all,-11,0.001470949527428475,0.03082940990704408
test,4,level_ge_7m,-3,-0.0011123480570853772,0.03082940990704408
test,5,all,1,-0.002021742862531456,-0.13224995723469313
test,5,level_ge_7m,4,-0.009517619677856914,-0.13224995723469313
test,6,all,1,-0.0015348078894531492,0.07363852343522126
test,6,level_ge_7m,2,-0.0017015362637403664,0.07363852343522126
test,7,all,-6,0.004380181573981956,0.30336961023860276
test,7,level_ge_7m,-2,0.02178546526552516,0.30336961023860276
test,8,all,-13,0.007693108030378926,0.18442910008804247
test,8,level_ge_7m,-3,0.038247196243261006,0.18442910008804247
test,9,all,-14,0.0015712944564318931,0.05676482905620972
test,9,level_ge_7m,0,0.03300351350827935,0.05676482905620972
test,10,all,6,-0.003159841727783108,0.03318863467968303
test,10,level_ge_7m,-2,-0.004869806833831314,0.03318863467968303
test,11,all,2,-0.010102146088925568,-0.3164698497492964
test,11,level_ge_7m,1,-0.032274115969903594,-0.3164698497492964
test,12,all,21,0.0014588529972354713,-0.3315291666484441
test,12,level_ge_7m,-3,0.02104825968166457,-0.3315291666484441
