nominal_lead_h,before,after,added,removed,common,common_base_changed,common_target_changed
1,10899,10899,0,0,10899,0,0
2,10894,10894,0,0,10894,0,0
3,10888,10888,0,0,10888,0,0
4,10884,10884,0,0,10884,0,0
5,10882,10882,0,0,10882,0,0
6,10883,10883,0,0,10883,0,0
7,10881,10881,0,0,10881,0,0
8,10880,10880,0,0,10880,0,0
9,10878,10878,0,0,10878,0,0
10,10877,10877,0,0,10877,0,0
11,10874,10874,0,0,10874,0,0
12,10872,10872,0,0,10872,0,0
13,10872,10872,0,0,10872,0,0
14,10872,10872,0,0,10872,0,0
