field,changed
raw:86060010:H,0
raw:86060010:Q,0
raw:86099000:H,0
raw:86099000:Q,0
raw:86102000:H,0
raw:86102000:Q,0
raw:86117000:H,0
raw:86117000:Q,0
raw:86125000:H,0
raw:86125000:Q,0
raw:86125050:H,0
raw:86125050:Q,0
raw:86160000:H,0
raw:86160000:Q,0
raw:86163000:H,0
raw:86163000:Q,0
raw:86200900:H,0
raw:86200900:Q,0
raw:86280500:H,0
raw:86280500:Q,0
raw:86298000:H,0
raw:86298000:Q,0
raw:86403000:H,0
raw:86403000:Q,0
raw:86410800:H,0
raw:86410800:Q,0
raw:86447000:H,0
raw:86447000:Q,0
raw:86448000:H,0
raw:86448000:Q,0
raw:86450000:H,0
raw:86450000:Q,0
raw:86471000:H,0
raw:86471000:Q,0
raw:86472000:H,0
raw:86472000:Q,0
raw:86472600:H,0
raw:86472600:Q,0
raw:86479000:H,0
raw:86479000:Q,0
raw:86488000:H,0
raw:86488000:Q,0
raw:86493000:H,0
raw:86493000:Q,0
raw:86495500:H,0
raw:86495500:Q,0
raw:86500000:H,0
raw:86500000:Q,0
raw:86504900:H,0
raw:86504900:Q,0
raw:86505500:H,0
raw:86505500:Q,0
raw:86510000:H,0
raw:86510000:Q,0
raw:julho:Q,0
raw:julho:I,0
raw:monte:Q,0
raw:monte:I,0
raw:castro:Q,0
raw:castro:I,0
