source,field,rows,changed
ana-86060010.npz,level,12814,0
ana-86060010.npz,flow,12814,0
ana-86060010.npz,rain,12814,0
ana-86060010.npz,counter,12814,0
ana-86099000.npz,level,12490,0
ana-86099000.npz,flow,12490,0
ana-86099000.npz,rain,12490,0
ana-86099000.npz,counter,12490,0
ana-86102000.npz,level,12790,0
ana-86102000.npz,flow,12790,0
ana-86102000.npz,rain,12790,0
ana-86102000.npz,counter,12790,0
ana-86117000.npz,level,12451,0
ana-86117000.npz,flow,12451,0
ana-86117000.npz,rain,12451,0
ana-86117000.npz,counter,12451,0
ana-86125000.npz,level,9733,0
ana-86125000.npz,flow,9733,0
ana-86125000.npz,rain,9733,0
ana-86125000.npz,counter,9733,0
ana-86125050.npz,level,12905,0
ana-86125050.npz,flow,12905,0
ana-86125050.npz,rain,12905,0
ana-86125050.npz,counter,12905,0
ana-86160000.npz,level,51259,0
ana-86160000.npz,flow,51259,0
ana-86160000.npz,rain,51259,0
ana-86160000.npz,counter,51259,0
ana-86163000.npz,level,12527,0
ana-86163000.npz,flow,12527,0
ana-86163000.npz,rain,12527,0
ana-86163000.npz,counter,12527,0
ana-86200900.npz,level,12830,0
ana-86200900.npz,flow,12830,0
ana-86200900.npz,rain,12830,0
ana-86200900.npz,counter,12830,0
ana-86280500.npz,level,11565,0
ana-86280500.npz,flow,11565,0
ana-86280500.npz,rain,11565,0
ana-86280500.npz,counter,11565,0
ana-86298000.npz,level,15117,0
ana-86298000.npz,flow,15117,0
ana-86298000.npz,rain,15117,0
ana-86298000.npz,counter,15117,0
ana-86403000.npz,level,12906,0
ana-86403000.npz,flow,12906,0
ana-86403000.npz,rain,12906,0
ana-86403000.npz,counter,12906,0
ana-86410800.npz,level,12553,0
ana-86410800.npz,flow,12553,0
ana-86410800.npz,rain,12553,0
ana-86410800.npz,counter,12553,0
ana-86447000.npz,level,12197,0
ana-86447000.npz,flow,12197,0
ana-86447000.npz,rain,12197,0
ana-86447000.npz,counter,12197,0
ana-86448000.npz,level,12866,0
ana-86448000.npz,flow,12866,0
ana-86448000.npz,rain,12866,0
ana-86448000.npz,counter,12866,0
ana-86450000.npz,level,16898,0
ana-86450000.npz,flow,16898,0
ana-86450000.npz,rain,16898,0
ana-86450000.npz,counter,16898,0
ana-86471000.npz,level,15404,0
ana-86471000.npz,flow,15404,0
ana-86471000.npz,rain,15404,0
ana-86471000.npz,counter,15404,0
ana-86472000.npz,level,51548,0
ana-86472000.npz,flow,51548,0
ana-86472000.npz,rain,51548,0
ana-86472000.npz,counter,51548,0
ana-86472600.npz,level,50083,0
ana-86472600.npz,flow,50083,0
ana-86472600.npz,rain,50083,0
ana-86472600.npz,counter,50083,0
ana-86479000.npz,level,12289,0
ana-86479000.npz,flow,12289,0
ana-86479000.npz,rain,12289,0
ana-86479000.npz,counter,12289,0
ana-86488000.npz,level,11847,0
ana-86488000.npz,flow,11847,0
ana-86488000.npz,rain,11847,0
ana-86488000.npz,counter,11847,0
ana-86493000.npz,level,12843,0
ana-86493000.npz,flow,12843,0
ana-86493000.npz,rain,12843,0
ana-86493000.npz,counter,12843,0
ana-86495500.npz,level,12829,0
ana-86495500.npz,flow,12829,0
ana-86495500.npz,rain,12829,0
ana-86495500.npz,counter,12829,0
ana-86500000.npz,level,49684,0
ana-86500000.npz,flow,49684,0
ana-86500000.npz,rain,49684,0
ana-86500000.npz,counter,49684,0
ana-86504900.npz,level,12313,0
ana-86504900.npz,flow,12313,0
ana-86504900.npz,rain,12313,0
ana-86504900.npz,counter,12313,0
ana-86505500.npz,level,12830,0
ana-86505500.npz,flow,12830,0
ana-86505500.npz,rain,12830,0
ana-86505500.npz,counter,12830,0
ana-86510000.npz,level,51504,0
ana-86510000.npz,flow,51504,0
ana-86510000.npz,rain,51504,0
ana-86510000.npz,counter,51504,0
ceran-castro.npz,Q,51648,0
ceran-castro.npz,I,51648,0
ceran-julho.npz,Q,51648,0
ceran-julho.npz,I,51648,0
ceran-monte.npz,Q,51648,0
ceran-monte.npz,I,51648,0
