window,horizon_h,scheduled,paired,missing_base,missing_target,approved_target_ge7,paired_ge7,above_current_training_max,extreme_with_all_6_QI,extreme_with_all_6_reservoir_levels,extreme_with_zero_defluent_positive_components,maximum_response_m,maximum_response_origin,maximum_response_target,maximum_response_base_m,maximum_response_target_m,maximum_response_all_6_QI
2020,1,1199,1162,30,28,199,196,10,10,10,0,1.7199999999999989,2020-07-12T09:00:00-03:00,2020-07-12T10:00:00-03:00,8.8,10.52,True
2020,2,1198,1160,30,28,199,195,11,11,11,0,3.0,2020-07-07T20:00:00-03:00,2020-07-07T22:00:00-03:00,9.62,12.62,True
2020,3,1197,1158,30,28,199,194,11,11,11,0,4.210000000000001,2020-07-07T20:00:00-03:00,2020-07-07T23:00:00-03:00,9.62,13.83,True
2020,4,1196,1156,30,28,199,193,11,11,11,0,5.380000000000001,2020-07-07T20:00:00-03:00,2020-07-08T00:00:00-03:00,9.62,15.0,True
2020,5,1195,1154,30,28,199,192,11,11,11,0,6.529999999999999,2020-07-07T19:00:00-03:00,2020-07-08T00:00:00-03:00,8.47,15.0,True
2020,6,1194,1152,30,28,199,191,11,11,11,0,7.6,2020-07-07T19:00:00-03:00,2020-07-08T01:00:00-03:00,8.47,16.07,True
2020,7,1193,1150,30,28,199,190,10,10,10,0,8.499999999999998,2020-07-07T19:00:00-03:00,2020-07-08T02:00:00-03:00,8.47,16.97,True
2020,8,1192,1148,30,28,199,189,9,9,9,0,9.25,2020-07-07T18:00:00-03:00,2020-07-08T02:00:00-03:00,7.72,16.97,True
2020,9,1191,1146,30,28,199,188,10,10,10,0,9.990000000000002,2020-07-07T18:00:00-03:00,2020-07-08T03:00:00-03:00,7.72,17.71,True
2020,10,1190,1144,30,28,199,187,9,9,9,0,10.740000000000002,2020-07-07T18:00:00-03:00,2020-07-08T04:00:00-03:00,7.72,18.46,True
2020,11,1189,1142,30,28,199,186,9,9,9,0,11.25,2020-07-07T17:00:00-03:00,2020-07-08T04:00:00-03:00,7.21,18.46,True
2020,12,1188,1141,30,28,199,185,9,9,9,0,11.530000000000001,2020-07-07T16:00:00-03:00,2020-07-08T04:00:00-03:00,6.93,18.46,True
2023,1,719,502,214,215,56,56,5,5,5,0,2.6400000000000006,2023-09-04T13:00:00-03:00,2023-09-04T14:00:00-03:00,10.5,13.14,True
2023,2,718,500,213,215,56,55,4,4,4,0,4.710000000000001,2023-09-04T13:00:00-03:00,2023-09-04T15:00:00-03:00,10.5,15.21,True
2023,3,717,498,212,215,56,54,4,4,4,0,6.620000000000001,2023-09-04T13:00:00-03:00,2023-09-04T16:00:00-03:00,10.5,17.12,True
2023,4,716,496,211,215,56,53,4,4,4,0,8.280000000000001,2023-09-04T12:00:00-03:00,2023-09-04T16:00:00-03:00,8.84,17.12,True
2023,5,715,494,210,215,56,52,4,4,4,0,9.240000000000002,2023-09-04T11:00:00-03:00,2023-09-04T16:00:00-03:00,7.88,17.12,True
2023,6,714,492,209,215,56,51,4,4,4,0,9.900000000000002,2023-09-04T10:00:00-03:00,2023-09-04T16:00:00-03:00,7.22,17.12,True
2023,7,713,490,208,215,56,50,3,3,3,0,10.47,2023-09-04T09:00:00-03:00,2023-09-04T16:00:00-03:00,6.65,17.12,True
2023,8,712,488,207,215,56,49,3,3,3,0,11.040000000000001,2023-09-04T08:00:00-03:00,2023-09-04T16:00:00-03:00,6.08,17.12,True
2023,9,711,486,206,215,56,48,3,3,3,0,11.57,2023-09-04T07:00:00-03:00,2023-09-04T16:00:00-03:00,5.55,17.12,True
2023,10,710,484,205,215,56,47,3,3,3,0,12.030000000000001,2023-09-04T06:00:00-03:00,2023-09-04T16:00:00-03:00,5.09,17.12,True
